"ID","SENSOR_NAME","READING","UNIT"
1187,"ESP32-S3-METRO",25,"Celsius"
1186,"ESP32-S3-METRO",25,"Celsius"
1185,"ESP32-S3-METRO",25,"Celsius"
1184,"ESP32-S3-METRO",25,"Celsius"
1183,"ESP32-S3-METRO",25,"Celsius"
1182,"ESP32-S3-METRO",25,"Celsius"
1181,"ESP32-S3-METRO",25,"Celsius"
1180,"ESP32-S3-METRO",25,"Celsius"
1179,"ESP32-S3-METRO",25,"Celsius"
1178,"ESP32-S3-METRO",25,"Celsius"
1177,"ESP32-S3-METRO",25,"Celsius"
1176,"ESP32-S3-METRO",25,"Celsius"
1175,"ESP32-S3-METRO",25,"Celsius"
1174,"ESP32-S3-METRO",25,"Celsius"
1173,"ESP32-S3-METRO",25,"Celsius"
1172,"ESP32-S3-METRO",25,"Celsius"
1171,"ESP32-S3-METRO",25,"Celsius"
1170,"ESP32-S3-METRO",25,"Celsius"
1169,"ESP32-S3-METRO",25,"Celsius"
1168,"ESP32-S3-METRO",25,"Celsius"
1167,"ESP32-S3-METRO",25,"Celsius"
1166,"ESP32-S3-METRO",25,"Celsius"
1165,"ESP32-S3-METRO",25,"Celsius"
1164,"ESP32-S3-METRO",25,"Celsius"
1163,"ESP32-S3-METRO",25,"Celsius"
1162,"ESP32-S3-METRO",25,"Celsius"
1161,"ESP32-S3-METRO",25,"Celsius"
1160,"ESP32-S3-METRO",25,"Celsius"
1159,"ESP32-S3-METRO",25,"Celsius"
1158,"ESP32-S3-METRO",25,"Celsius"
1157,"ESP32-S3-METRO",25,"Celsius"
1156,"ESP32-S3-METRO",25,"Celsius"
1155,"ESP32-S3-METRO",25,"Celsius"
1154,"ESP32-S3-METRO",25,"Celsius"
1153,"ESP32-S3-METRO",25,"Celsius"
1152,"ESP32-S3-METRO",25,"Celsius"
1151,"ESP32-S3-METRO",25,"Celsius"
1150,"ESP32-S3-METRO",25,"Celsius"
1149,"ESP32-S3-METRO",25,"Celsius"
1148,"ESP32-S3-METRO",25,"Celsius"
1147,"ESP32-S3-METRO",25,"Celsius"
1146,"ESP32-S3-METRO",25,"Celsius"
1145,"ESP32-S3-METRO",25,"Celsius"
1144,"ESP32-S3-METRO",25,"Celsius"
1143,"ESP32-S3-METRO",25,"Celsius"
1142,"ESP32-S3-METRO",25,"Celsius"
1141,"ESP32-S3-METRO",25,"Celsius"
1140,"ESP32-S3-METRO",25,"Celsius"
1139,"ESP32-S3-METRO",25,"Celsius"
1138,"ESP32-S3-METRO",25,"Celsius"
1137,"ESP32-S3-METRO",25,"Celsius"
1136,"ESP32-S3-METRO",25,"Celsius"
